"id","nam","log2FoldChange","pvalue","padj","def","baseMean","lfcSE","stat"
"GO:0000151","ubiquitin ligase complex",0.164347245017742,5.03285863936493e-06,1.20071254190279e-05,"A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex.",2186.0079912418,0.0360141044232474,4.56341335289888
"GO:0000154","rRNA modification",-0.637658738841448,7.34513207581701e-21,3.82490951799952e-20,"The covalent alteration of one or more nucleotides within an rRNA molecule to produce an rRNA molecule with a sequence that differs from that coded genetically.",669.437237104821,0.0680628787406544,-9.36867130276948
"GO:0000159","protein phosphatase type 2A complex",-0.140772289150981,3.12853722160157e-08,8.83023562121844e-08,"A protein complex that has protein serine/threonine phosphatase activity that is polycation-stimulated (PCS), being directly stimulated by protamine, polylysine, or histone H1; it constitutes a subclass of several enzymes activated by different histones and polylysine, and consists of catalytic, scaffolding, and regulatory subunits. The catalytic and scaffolding subunits form the core enzyme, and the holoenzyme also includes the regulatory subunit.",11067.4364579505,0.0254373106063476,-5.53408696892087
"GO:0000165","MAPK cascade",-0.364008135756422,4.34218681560203e-08,1.21454535730831e-07,"An intracellular protein kinase cascade containing at least a MAPK, a MAPKK and a MAP3K. The cascade can also contain an additional tiers: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell.",604.973513362313,0.0664692639906915,-5.47633769207071
"GO:0000166","nucleotide binding",-0.117638281767619,1.90082698282184e-05,4.3338855208338e-05,"Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.",41978.9440315095,0.0275097954582242,-4.27623251311564
"GO:0000175","3'-5'-exoribonuclease activity",0.0383847127651771,0.293887723700587,0.367839293343939,"Catalysis of the sequential cleavage of mononucleotides from a free 3' terminus of an RNA molecule.",8101.78560573364,0.0365697152684605,1.04963116292792
"GO:0000178","exosome (RNase complex)",0.0769689520766698,0.0576194681637172,0.085217011470743,"A ribonuclease complex that has 3-prime to 5-prime exoribonuclease activity and possibly endoribonuclease activity, producing 5-prime-phosphomonoesters. Participates in a multitude of cellular RNA processing and degradation events preventing nuclear export and/or translation of aberrant RNAs. Restricted to processing linear and circular single-stranded RNAs (ssRNA) only. RNAs with complex secondary structures may have to be unwound or pre-processed by co-factors prior to entering the complex, esp if the 3-prime end is structured.",1714.88452541997,0.0405402324155417,1.89858191457142
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.430738346237734,3.7189395795821e-11,1.23710466456446e-10,"The nonsense-mediated decay pathway for nuclear-transcribed mRNAs degrades mRNAs in which an amino-acid codon has changed to a nonsense codon; this prevents the translation of such mRNAs into truncated, and potentially harmful, proteins.",887.63086008224,0.0651167368620921,6.61486381220202
"GO:0000209","protein polyubiquitination",0.0654334138371187,0.444288096810236,0.524638071765279,"Addition of multiple ubiquitin groups to a protein, forming a ubiquitin chain.",295.546874818102,0.0855369823122132,0.764972203464979
"GO:0000225","N-acetylglucosaminylphosphatidylinositol deacetylase activity",0.544532031778083,0.000211885707267723,0.00043939720415696,"Catalysis of the reaction: N-acetyl-D-glucosaminylphosphatidylinositol + H2O = D-glucosaminylphosphatidylinositol + acetate. This reaction is the second step of the biosynthesis of glycosylphosphatidylinositol (GPI), used to anchor various eukaryotic proteins to the cell-surface membrane.",125.995316837571,0.146995729963792,3.70440714102519
"GO:0000226","microtubule cytoskeleton organization",-0.284427123718993,1.93717666250173e-20,9.8445917619666e-20,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising microtubules and their associated proteins.",6378.24480664734,0.0306966230317364,-9.26574637949363
"GO:0000228","nuclear chromosome",0.38751401467648,1.12736736862493e-48,1.15418338855825e-47,"A chromosome that encodes the nuclear genome and is found in the nucleus of a eukaryotic cell during the cell cycle phases when the nucleus is intact.",11764.4044231472,0.026429644820194,14.6620969488169
"GO:0000245","spliceosomal complex assembly",0.0273660308364702,0.797811002659154,0.848978601054559,"The aggregation, arrangement and bonding together of a spliceosomal complex, a ribonucleoprotein apparatus that catalyzes nuclear mRNA splicing via transesterification reactions.",292.235992832225,0.106822989498838,0.256181098889466
"GO:0000275","mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)",-0.464125198620305,0.0103805307442071,0.017528053914758,"The catalytic sector of the mitochondrial hydrogen-transporting ATP synthase; it comprises the catalytic core and central stalk, and is peripherally associated with the mitochondrial inner membrane when the entire ATP synthase is assembled.",78.2499593272548,0.181094556081214,-2.56288873980377
"GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",-0.35372692614049,2.07112415939011e-29,1.39108307393431e-28,"All non-F1 subunits of the mitochondrial hydrogen-transporting ATP synthase, including integral and peripheral mitochondrial inner membrane proteins.",4690.7815589738,0.0314148897060925,-11.2598493723786
"GO:0000278","mitotic cell cycle",0.187471003409724,0.231175453447863,0.299293450780566,"Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent.",119.589814025634,0.156573373950343,1.1973364224059
"GO:0000281","mitotic cytokinesis",0.0124814209496283,0.657465790901161,0.731817512754322,"A cell cycle process that results in the division of the cytoplasm of a cell after mitosis, resulting in the separation of the original cell into two daughter cells.",4340.12694191856,0.0281484136520218,0.44341471970417
"GO:0000287","magnesium ion binding",0.00735720067163715,0.807120479587069,0.857108303851525,"Binding to a magnesium (Mg) ion.",5244.58018867413,0.0301348659580453,0.244142472107892
"GO:0000339","RNA cap binding",0.660539904108341,9.93291969316975e-101,1.8375901432364e-99,"Binding to a 7-methylguanosine (m7G) group or derivative located at the 5' end of an RNA molecule.",3926.48022016102,0.0310021585416838,21.3062552796192
"GO:0000380","alternative mRNA splicing, via spliceosome",0.224744960095124,1.46836653569162e-05,3.38446450685642e-05,"The process of generating multiple mRNA molecules from a given set of exons by differential use of exons from the primary transcript(s) to form multiple mature mRNAs that vary in their exon composition.",1710.11864594613,0.0518636508288996,4.33338101933024
"GO:0000381","regulation of alternative mRNA splicing, via spliceosome",0.737005751297506,6.11674830422663e-151,1.51767319689576e-149,"Any process that modulates the frequency, rate or extent of alternative splicing of nuclear mRNAs.",5692.44164946586,0.0281641670530482,26.168206924399
"GO:0000398","mRNA splicing, via spliceosome",-0.358957570755695,4.56828811559856e-05,0.000101202937350813,"The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced.",400.879906575861,0.0880514010657794,-4.0766821017139
