"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","id","nam"
658426.714875028,0.0248612181194095,0.0397527344016596,0.625396428537796,0.53171090558841,0.921262724343572,"",""
51.2707188231326,0.294424609884285,0.295193290921087,0.997396007766968,0.318572328384769,0.811932113666492,"GO:0000014","single-stranded DNA endodeoxyribonuclease activity"
528.325375927651,-0.0796938203327096,0.13140326426539,-0.60648280526544,0.54419419698106,0.924124437173176,"GO:0000027","ribosomal large subunit assembly"
2829.55625334355,0.182939411782742,0.170972800332917,1.06999131690259,0.284623217164717,0.788483264870154,"GO:0000045","autophagosome assembly"
1534.2477097432,-0.00567222414432544,0.0709070800730568,-0.079995173098106,0.936241094978768,0.983243115102093,"GO:0000049","tRNA binding"
1473.41215374575,-0.0200018667906191,0.0826860548443003,-0.241901331830175,0.808856618126569,0.962425637919358,"GO:0000055","ribosomal large subunit export from nucleus"
5605.1559917647,-0.0809168694246245,0.0530484814425123,-1.52533809120083,0.127174791574431,0.612542936699764,"GO:0000062","fatty-acyl-CoA binding"
779.297059402525,-0.0770940475049054,0.113822136770605,-0.677320332338155,0.498202733233097,0.904545527244242,"GO:0000077","DNA damage checkpoint signaling"
1849.35571535615,-0.0225666793190111,0.0989468650245897,-0.22806866405927,0.819592860597597,0.965882137421772,"GO:0000123","histone acetyltransferase complex"
1847.14113333188,-0.0227002326452432,0.0604345763455219,-0.375616642291978,0.707201916548683,0.961641767879583,"GO:0000124","SAGA complex"
3145.87437823947,0.0167344722973319,0.068837420814344,0.243101384383142,0.80792685879863,0.962425637919358,"GO:0000139",""
3675.25147241516,-0.0042937596342232,0.059019052558326,-0.0727520935714761,0.942003393668597,0.983284844560872,"GO:0000145",""
20.1856456931169,-0.0494199230536938,0.504672713441069,-0.0979246980022522,0.921992088067137,NA,"GO:0000146","microfilament motor activity"
1306.17498007827,-0.0110181450651689,0.077008833932011,-0.143076378417787,0.886229860280495,0.976388716895698,"GO:0000151","ubiquitin ligase complex"
216970.927887028,-0.0102188758274055,0.0568285484383042,-0.179819406059607,0.857294348116359,0.971214855714933,"GO:0000166","nucleotide binding"
876.567946207082,-0.156119970131909,0.0883410810781575,-1.76724088302458,0.0771878955930465,0.527556939301235,"GO:0000179","rRNA (adenine-N6,N6-)-dimethyltransferase activity"
2332.80480324947,0.110287582877224,0.0599155313718371,1.84071776302503,0.0656629294901461,0.507506941012625,"GO:0000184",""
6334.32450323266,0.0867144072001164,0.0458952545433331,1.88939811017374,0.0588385039377333,0.496252054696183,"GO:0000226","microtubule cytoskeleton organization"
2036.32031769913,-0.105001608230644,0.0823486575612811,-1.27508585252292,0.20227885628245,0.704284485131733,"GO:0000281","mitotic cytokinesis"
1941.67789203409,0.18195543705751,0.0951485892402803,1.91232932101615,0.0558339672643786,0.496252054696183,"GO:0000285",""
83031.4295835636,-0.0281769102741245,0.0377273404812679,-0.746856521416206,0.455150173280227,0.883605153111839,"GO:0000287",""
750.992299191457,0.0538893369112706,0.126387935931842,0.426380386023012,0.66983069121111,0.961641767879583,"GO:0000290",""
2163.99595407773,0.100444502447325,0.0657063378393295,1.52868818671557,0.126341762251514,0.612542936699764,"GO:0000339",""
357.843161213015,0.00881330422559766,0.149478485473568,0.0589603527067853,0.952983687102432,0.986977256642072,"GO:0000350",""
95.2739957513579,0.296554802127646,0.245396188950873,1.20847354392702,0.226865166117166,0.71884096696895,"GO:0000381",""
1822.95528600042,-0.0827965397636585,0.0927866507807244,-0.892332453720366,0.37221476402134,0.868855441233355,"GO:0000387",""
20390.2380437988,-0.0213881993512146,0.0438306599048313,-0.487973473309652,0.625568630502376,0.959824225279156,"GO:0000398","mRNA splicing, via spliceosome"
217.478085000809,-0.118780004584415,0.140149625137322,-0.847522813336327,0.396703776723264,0.870944777677854,"GO:0000423","mitophagy"
539.278824985509,-0.0267076863635935,0.111384818637446,-0.239778514615409,0.810501963996795,0.962425637919358,"GO:0000492","box C/D snoRNP assembly"
163.383957355717,0.437329239259245,0.314595415758709,1.39013226942465,0.164488715902267,0.660553489876895,"GO:0000493","box H/ACA snoRNP assembly"
3988.78179492682,-0.0609393302953624,0.10995339463937,-0.55422873022915,0.579422318416472,0.945132657456454,"GO:0000502","proteasome complex"
182.866837089952,-0.189845638278317,0.176806468161694,-1.07374826414551,0.282935523274352,0.787837298814442,"GO:0000506","glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex"
142.717055981013,0.636689250530427,0.379545604691375,1.67750394856541,0.0934439779819212,0.575466093078079,"GO:0000700","mismatch base pair DNA N-glycosylase activity"
755.13936576674,0.0401168071258839,0.0986513927205041,0.406652212600197,0.684263443196354,0.961641767879583,"GO:0000723","telomere maintenance"
